expiry,option_type,strike,bid,ask,last,mid,volume,open_interest,spot,snapshot_utc,T,moneyness,iv
2026-07-02,call,795.0,0.48,0.5,0.47,0.49,91.0,560.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,1.0491864126957124,0.10186541108025587
2026-07-02,call,796.0,0.43,0.44,0.41,0.435,6.0,206.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,1.0505061440324366,0.10159237008642659
2026-07-02,call,797.0,0.39,0.4,0.3,0.395,2.0,16.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,1.0518258753691607,0.10180991021380245
2026-07-02,call,798.0,0.34,0.36,0.3,0.35,6.0,33.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,1.0531456067058849,0.10157472536851486
2026-07-02,call,799.0,0.3,0.32,0.19,0.31,1.0,16.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,1.054465338042609,0.10137438443821695
2026-07-02,call,800.0,0.28,0.29,0.28,0.285,96.0,484.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,1.0557850693793331,0.1018765974602185
2026-07-02,call,805.0,0.16,0.17,0.16,0.165,19.0,583.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,1.062383726062954,0.10237127817529292
2026-07-02,call,810.0,0.11,0.12,0.12,0.1149999999999999,19.0,1393.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,1.0689823827465748,0.10587398206390077
2026-07-02,call,815.0,0.08,0.09,0.09,0.0849999999999999,2.0,37.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,1.0755810394301957,0.11002421479999282
2026-07-02,call,820.0,0.06,0.07,0.06,0.065,24.0,220.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,1.0821796961138166,0.11441536024279489
2026-07-02,put,610.0,0.24,0.25,0.29,0.245,1.0,63.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,0.8050361154017416,0.3453619139228283
2026-07-02,put,615.0,0.26,0.27,0.37,0.265,3.0,28.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,0.8116347720853624,0.3374492741274649
2026-07-02,put,620.0,0.28,0.29,0.31,0.285,3.0,41.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,0.8182334287689832,0.32923574449938925
2026-07-02,put,625.0,0.3,0.31,0.32,0.305,100.0,84.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,0.824832085452604,0.3207538717044719
2026-07-02,put,630.0,0.32,0.33,0.41,0.325,1.0,66.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,0.8314307421362249,0.3120300621136252
2026-07-02,put,635.0,0.35,0.36,0.42,0.355,1.0,57.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,0.8380293988198457,0.3043401031716907
2026-07-02,put,640.0,0.38,0.39,0.42,0.385,2.0,78.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,0.8446280555034665,0.29626546938197285
2026-07-02,put,645.0,0.41,0.42,0.43,0.415,6.0,229.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,0.8512267121870873,0.2878484780836662
2026-07-02,put,650.0,0.45,0.46,0.54,0.455,16.0,263.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,0.8578253688707083,0.28009409954699055
2026-07-02,put,655.0,0.48,0.5,0.5,0.49,14.0,223.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,0.8644240255543291,0.2714638971237665
2026-07-02,put,660.0,0.53,0.54,0.54,0.535,22.0,1586.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,0.8710226822379499,0.2633355713914644
2026-07-02,put,665.0,0.58,0.6,0.85,0.59,19.0,1037.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,0.8776213389215707,0.25553370189551405
2026-07-02,put,670.0,0.65,0.66,0.66,0.655,85.0,1094.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,0.8842199956051916,0.24790427877626245
2026-07-02,put,675.0,0.71,0.73,0.73,0.72,49.0,586.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,0.8908186522888124,0.23970698237770646
